AGE,GENDER,CAREER,ACAD_LEVEL,ACAD_LOAD,HOURS_ENROLLED,ACAD_ORG,TRANSACTION_AMOUNT,TANSACTION_COUNT
26,Male,Undergraduate,Freshman,Enrolled Full-Time,13,Syracuse University,0.3,4
29,Female,Graduate,Graduate,Enrolled Half-Time,7,College of Education,2.11,11
19,Male,Undergraduate,Freshman,Enrolled Full-Time,12,SUNY at Brockport,482.72,63
20,Male,Undergraduate,Sophomore,Enrolled Full-Time,14,SUNY at Brockport,3.91,11
23,Male,Undergraduate,Senior,Enrolled Full-Time,16,College of Education,4.35,20
19,Male,Undergraduate,Freshman,Enrolled Half-Time,6,Syracuse University,0.42,3
24,Male,Graduate,Graduate,Enrolled Half-Time,6,SUNY at Buffalo,1.5,1
22,Female,Undergraduate,5th Year Undergraduate,Three Quarter Time,11,Creative & Professional Arts,2.8,13
34,Male,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,6,Syracuse University,0.28,4
23,Male,Undergraduate,Senior,Less than Half-Time,1,SUNY at Buffalo,4.03,7
24,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,SUNY at Buffalo,3.7,18
19,Female,Undergraduate,Sophomore,Enrolled Full-Time,14,SUNY at Brockport,0.3,1
22,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,20,College of Education,2.09,17
33,Male,Undergraduate,Senior,Enrolled Full-Time,13,Syracuse University,0,3
34,Male,Law,Law Day - Year 2,Enrolled Half-Time,5,School of Law,59.07,72
22,Female,Undergraduate,Junior,Enrolled Full-Time,13,Syracuse University,33.77,59
16,Male,Undergraduate,Freshman,Less than Half-Time,5,Syracuse University,0.25,4
28,Female,Graduate,Graduate,Enrolled Full-Time,9,College of Business Administration,39.92,19
22,Male,Undergraduate,Senior,Enrolled Full-Time,14,College of Business Administration,584.22,123
18,Female,Undergraduate,Freshman,Enrolled Full-Time,18,SUNY at Buffalo,1.05,4
23,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,College of Education,39.63,72
19,Female,Undergraduate,Freshman,Enrolled Full-Time,13,SUNY at Brockport,146.82,89
19,Male,Undergraduate,Freshman,Enrolled Full-Time,14,Syracuse University,0.05,2
18,Female,Undergraduate,Freshman,Enrolled Full-Time,12,University College,981.65,158
26,Male,Law,Law Day - Year 3,Enrolled Full-Time,16,School of Law,7.78,22
49,Male,Law,Law Evening - Year 3,Enrolled Full-Time,10,School of Law,77.22,75
21,Male,Undergraduate,Senior,Enrolled Full-Time,13,SUNY at Buffalo,0,7
18,Female,Undergraduate,Freshman,Enrolled Half-Time,7,College of Health Professions,2.9,9
24,Female,Graduate,Graduate,Enrolled Full-Time,9,SUNY at Buffalo,6.57,14
18,Male,Undergraduate,Freshman,Enrolled Full-Time,13,College of Engineering,554.56,78
19,Male,Undergraduate,Freshman,Enrolled Full-Time,13,Syracuse University,1244.6,134
26,Male,Graduate,Graduate,Enrolled Half-Time,7,College of Education,71.38,51
18,Male,Undergraduate,Freshman,Enrolled Full-Time,22,University College,1199.88,163
19,Female,Undergraduate,Sophomore,Enrolled Full-Time,16,SUNY at Brockport,487.35,49
20,Male,Undergraduate,Sophomore,Enrolled Full-Time,13,Syracuse University,133.57,63
